Name,Collection,Rarity,Float,PriceCents,StatTrak
Desert Eagle | Mudder,The Lake Collection,industrial,0.193174515024,,false
PP-Bizon | Night Ops,The Lake Collection,industrial,0.103159252149,,false
FAMAS | Cyanospatter,The Lake Collection,industrial,0.864623613868,,false
MP9 | Orange Peel,The Safehouse Collection,industrial,0.684145636193,,false
AUG | Condemned,The Safehouse Collection,industrial,0.274564208425,,false
G3SG1 | VariCamo,The Safehouse Collection,industrial,0.401780985533,,false
AUG | Condemned,The Safehouse Collection,industrial,0.755409144994,,false
MP9 | Orange Peel,The Safehouse Collection,industrial,0.613158957399,,false
Desert Eagle | Night,The Chop Shop Collection,industrial,0.582025464880,,false
Desert Eagle | Night,The Chop Shop Collection,industrial,0.247487862725,,false
