Name,Collection,Rarity,Float,PriceCents,StatTrak
M4A1-S | VariCamo,The Dust 2 Collection,mil-spec,0.345372686827,,false
SG 553 | Damascus Steel,The Dust 2 Collection,mil-spec,0.980827401832,,false
PP-Bizon | Brass,The Dust 2 Collection,mil-spec,0.616473162391,,false
M4A1-S | VariCamo,The Dust 2 Collection,mil-spec,0.556870939057,,false
SSG 08 | Hand Brake,The 2018 Inferno Collection,mil-spec,0.281450327221,,false
FAMAS | Hexane,The Arms Deal 2 Collection,mil-spec,0.110042551522,,false
P250 | Hive,The Arms Deal 2 Collection,mil-spec,0.135028915455,,false
FAMAS | Hexane,The Arms Deal 2 Collection,mil-spec,0.289092535698,,false
P250 | Hive,The Arms Deal 2 Collection,mil-spec,0.159164204179,,false
SCAR-20 | Crimson Web,The Arms Deal 2 Collection,mil-spec,0.179037130200,,false
