Name,Collection,Rarity,Float,PriceCents,StatTrak
Dual Berettas | Cobalt Quartz,The Lake Collection,restricted,0.178593415548,,false
Dual Berettas | Cobalt Quartz,The Lake Collection,restricted,0.086666061911,,false
Dual Berettas | Cobalt Quartz,The Lake Collection,restricted,0.281901211335,,false
Dual Berettas | Cobalt Quartz,The Lake Collection,restricted,0.077844089811,,false
MAC-10 | Last Dive,The Spectrum Collection,restricted,0.250933827668,,false
MAC-10 | Last Dive,The Spectrum Collection,restricted,0.408112107308,,false
XM1014 | Seasons,The Spectrum Collection,restricted,0.100921308921,,false
Galil AR | Crimson Tsunami,The Spectrum Collection,restricted,0.361972105745,,false
UMP-45 | Scaffold,The Spectrum Collection,restricted,0.652302501351,,false
UMP-45 | Scaffold,The Spectrum Collection,restricted,0.328154005092,,false
