Name,Collection,Rarity,Float,PriceCents,StatTrak
CZ75-Auto | Pole Position,The Chroma 2 Collection,restricted,0.213559418917,,false
CZ75-Auto | Pole Position,The Chroma 2 Collection,restricted,0.183809459209,,false
CZ75-Auto | Pole Position,The Chroma 2 Collection,restricted,0.177276119590,,false
CZ75-Auto | Pole Position,The Chroma 2 Collection,restricted,0.159674689174,,false
CZ75-Auto | Pole Position,The Chroma 2 Collection,restricted,0.151411235332,,false
CZ75-Auto | Pole Position,The Chroma 2 Collection,restricted,0.151374638081,,false
CZ75-Auto | Pole Position,The Chroma 2 Collection,restricted,0.150837123394,,false
MAG-7 | Heat,The Chroma 2 Collection,restricted,0.124699443579,,false
AWP | Worm God,The Chroma 2 Collection,restricted,0.086348176003,,false
CZ75-Auto | Pole Position,The Chroma 2 Collection,restricted,0.071925900877,,false


