Name,Collection,Rarity,Float,PriceCents,StatTrak
AWP | Phobos,The Gamma Collection,restricted,0.089968536392,,false
Sawed-Off | Limelight,The Gamma Collection,restricted,0.693121585580,,false
Sawed-Off | Limelight,The Gamma Collection,restricted,0.003048927441,,false
Sawed-Off | Limelight,The Gamma Collection,restricted,0.058932305373,,false
Sawed-Off | Limelight,The Gamma Collection,restricted,0.106260949124,,false
AWP | Phobos,The Gamma Collection,restricted,0.085712347891,,false
REVOLVER | Reboot,The Gamma Collection,restricted,0.282227850080,,false
AUG | Aristocrat,The Gamma Collection,restricted,0.257102426030,,false
P90 | Chopper,The Gamma Collection,restricted,0.088049940211,,false
AUG | Aristocrat,The Gamma Collection,restricted,0.278984378920,,false
