market_hash_name,name,variant,exterior,coleccion,rareza,float_min,float_max,currency,listing_min,listing_median,sales_median_24h,sales_median_7d,sales_median_30d,sales_median_90d,vol_24h,vol_7d,vol_30d,vol_90d,delta_24h_vs_7d_pct,delta_7d_vs_30d_pct,source,last_updated_unix
AK-47 | Aquamarine Revenge (Factory New),AK-47 | Aquamarine Revenge,normal,Factory New,The Falchion Collection,covert,0.0,1.0,USD,374.95,386.99,,287.55,236.03,214.78,0,11,37,87,,21.827733762657296,Skinport,1757810067
AK-47 | Aquamarine Revenge (Minimal Wear),AK-47 | Aquamarine Revenge,normal,Minimal Wear,The Falchion Collection,covert,0.0,1.0,USD,86.9,111.47,80.92,88.23,83.52,83.53,1,24,105,335,-8.285163776493258,5.639367816091964,Skinport,1757810067
AK-47 | Aquamarine Revenge (Field-Tested),AK-47 | Aquamarine Revenge,normal,Field-Tested,The Falchion Collection,covert,0.0,1.0,USD,47.65,49.43,40.85,46.9,41.53,41.19,5,33,151,497,-12.89978678038379,12.93041175054177,Skinport,1757810067
AK-47 | Aquamarine Revenge (Well-Worn),AK-47 | Aquamarine Revenge,normal,Well-Worn,The Falchion Collection,covert,0.0,1.0,USD,28.54,47.78,,30.49,29.2,30.85,0,13,48,121,,4.417808219178079,Skinport,1757810067
AK-47 | Aquamarine Revenge (Battle-Scarred),AK-47 | Aquamarine Revenge,normal,Battle-Scarred,The Falchion Collection,covert,0.0,1.0,USD,26.5,41.31,,25.21,26.43,27.9,0,6,21,48,,-4.615966704502455,Skinport,1757810067
StatTrak™ AK-47 | Aquamarine Revenge (Factory New),AK-47 | Aquamarine Revenge,stattrak,Factory New,The Falchion Collection,covert,0.0,1.0,USD,383.67,432.14,341.95,308.82,342.62,318.76,1,5,10,27,10.727932128748137,-9.865156733407277,Skinport,1757810067
StatTrak™ AK-47 | Aquamarine Revenge (Minimal Wear),AK-47 | Aquamarine Revenge,stattrak,Minimal Wear,The Falchion Collection,covert,0.0,1.0,USD,213.43,237.33,194.26,184.3,181.49,185.2,1,5,22,64,5.404232230059674,1.5482946718827495,Skinport,1757810067
StatTrak™ AK-47 | Aquamarine Revenge (Field-Tested),AK-47 | Aquamarine Revenge,stattrak,Field-Tested,The Falchion Collection,covert,0.0,1.0,USD,103.77,128.86,111.27,108.03,101.57,101.97,1,5,25,63,2.999166898083861,6.360145712316637,Skinport,1757810067
StatTrak™ AK-47 | Aquamarine Revenge (Well-Worn),AK-47 | Aquamarine Revenge,stattrak,Well-Worn,The Falchion Collection,covert,0.0,1.0,USD,78.51,88.5,,,74.7,73.13,0,0,2,14,,,Skinport,1757810067
StatTrak™ AK-47 | Aquamarine Revenge (Battle-Scarred),AK-47 | Aquamarine Revenge,stattrak,Battle-Scarred,The Falchion Collection,covert,0.0,1.0,USD,74.45,79.2,,,60.58,69.05,0,0,1,5,,,Skinport,1757810067
AK-47 | Asiimov (Factory New),AK-47 | Asiimov,normal,Factory New,The Danger Zone Collection,covert,0.05,0.7,USD,469.08,680.68,,291.42,277.51,269.72,0,17,28,67,,5.012431984433002,Skinport,1757810067
AK-47 | Asiimov (Minimal Wear),AK-47 | Asiimov,normal,Minimal Wear,The Danger Zone Collection,covert,0.05,0.7,USD,58.62,70.8,57.6,56.59,56.5,58.32,5,61,266,807,1.7847676267891817,0.15929203539823614,Skinport,1757810067
AK-47 | Asiimov (Field-Tested),AK-47 | Asiimov,normal,Field-Tested,The Danger Zone Collection,covert,0.05,0.7,USD,31.83,43.38,31.87,30.74,30.65,32.24,20,129,542,1574,3.6759921925829624,0.29363784665579074,Skinport,1757810067
AK-47 | Asiimov (Well-Worn),AK-47 | Asiimov,normal,Well-Worn,The Danger Zone Collection,covert,0.05,0.7,USD,34.84,39.46,33.84,35.02,34.16,33.82,2,4,25,66,-3.369503141062249,2.517564402810324,Skinport,1757810067
AK-47 | Asiimov (Battle-Scarred),AK-47 | Asiimov,normal,Battle-Scarred,The Danger Zone Collection,covert,0.05,0.7,USD,29.11,37.59,29.32,28.68,27.28,28.36,1,9,32,103,2.231520223152024,5.131964809384159,Skinport,1757810067
StatTrak™ AK-47 | Asiimov (Factory New),AK-47 | Asiimov,stattrak,Factory New,The Danger Zone Collection,covert,0.05,0.7,USD,542.22,569.4,,478.98,482.05,470.36,0,2,4,13,,-0.6368633959132856,Skinport,1757810067
StatTrak™ AK-47 | Asiimov (Minimal Wear),AK-47 | Asiimov,stattrak,Minimal Wear,The Danger Zone Collection,covert,0.05,0.7,USD,135.7,158.83,134.38,139.65,133.84,135.74,3,10,55,157,-3.7737200143215253,4.34100418410042,Skinport,1757810067
StatTrak™ AK-47 | Asiimov (Field-Tested),AK-47 | Asiimov,stattrak,Field-Tested,The Danger Zone Collection,covert,0.05,0.7,USD,70.01,90.87,70.41,66.57,67.24,70.1,2,16,63,230,5.768364127985585,-0.9964306960142798,Skinport,1757810067
StatTrak™ AK-47 | Asiimov (Well-Worn),AK-47 | Asiimov,stattrak,Well-Worn,The Danger Zone Collection,covert,0.05,0.7,USD,82.32,86.02,,,73.24,73.88,0,0,4,9,,,Skinport,1757810067
StatTrak™ AK-47 | Asiimov (Battle-Scarred),AK-47 | Asiimov,stattrak,Battle-Scarred,The Danger Zone Collection,covert,0.05,0.7,USD,69.88,73.74,,64.29,64.17,64.21,0,4,6,21,,0.18700327255727683,Skinport,1757810067
AK-47 | B the Monster (Factory New),AK-47 | B the Monster,normal,Factory New,The Overpass 2024 Collection,covert,0.0,0.8,USD,1097.66,1135.19,,884.73,876.1,847.05,0,6,15,39,,0.9850473690218007,Skinport,1757810067
AK-47 | B the Monster (Minimal Wear),AK-47 | B the Monster,normal,Minimal Wear,The Overpass 2024 Collection,covert,0.0,0.8,USD,443.74,595.05,474.45,417.47,401.8,404.58,5,23,81,190,13.648884949816741,3.8999502239920396,Skinport,1757810067
AK-47 | B the Monster (Field-Tested),AK-47 | B the Monster,normal,Field-Tested,The Overpass 2024 Collection,covert,0.0,0.8,USD,246.15,288.13,246.17,246.99,246.22,254.62,3,29,102,281,-0.331997246852108,0.3127284542279304,Skinport,1757810067
AK-47 | B the Monster (Well-Worn),AK-47 | B the Monster,normal,Well-Worn,The Overpass 2024 Collection,covert,0.0,0.8,USD,206.76,220.01,,182.0,194.93,202.6,0,3,12,25,,-6.633150361668294,Skinport,1757810067
AK-47 | B the Monster (Battle-Scarred),AK-47 | B the Monster,normal,Battle-Scarred,The Overpass 2024 Collection,covert,0.0,0.8,USD,128.52,140.35,,110.91,109.71,117.14,0,6,26,62,,1.0937927262783729,Skinport,1757810067
AK-47 | Baroque Purple (Factory New),AK-47 | Baroque Purple,normal,Factory New,The Canals Collection,industrial,0.0,1.0,USD,75.84,126.07,46.71,57.6,46.9,28.8,1,8,25,80,-18.90625,22.814498933901923,Skinport,1757810067
AK-47 | Baroque Purple (Minimal Wear),AK-47 | Baroque Purple,normal,Minimal Wear,The Canals Collection,industrial,0.0,1.0,USD,10.32,13.51,,9.96,8.91,8.91,0,9,31,88,,11.784511784511793,Skinport,1757810067
AK-47 | Baroque Purple (Field-Tested),AK-47 | Baroque Purple,normal,Field-Tested,The Canals Collection,industrial,0.0,1.0,USD,7.02,10.54,,5.64,5.86,6.47,0,8,20,61,,-3.754266211604106,Skinport,1757810067
AK-47 | Baroque Purple (Well-Worn),AK-47 | Baroque Purple,normal,Well-Worn,The Canals Collection,industrial,0.0,1.0,USD,5.61,8.54,,5.5,5.23,5.76,0,1,2,5,,5.162523900573605,Skinport,1757810067
AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple,normal,Battle-Scarred,The Canals Collection,industrial,0.0,1.0,USD,5.73,10.14,,7.6,7.28,7.43,0,1,5,12,,4.395604395604387,Skinport,1757810067
AK-47 | Black Laminate (Factory New),AK-47 | Black Laminate,normal,Factory New,The Vertigo Collection,mil-spec,0.0,1.0,USD,247.16,247.16,,,182.39,182.39,0,0,1,3,,,Skinport,1757810067
AK-47 | Black Laminate (Minimal Wear),AK-47 | Black Laminate,normal,Minimal Wear,The Vertigo Collection,mil-spec,0.0,1.0,USD,93.82,181.65,70.35,73.22,60.82,53.69,1,16,40,81,-3.91969407265775,20.38803025320618,Skinport,1757810067
AK-47 | Black Laminate (Field-Tested),AK-47 | Black Laminate,normal,Field-Tested,The Vertigo Collection,mil-spec,0.0,1.0,USD,44.3,96.69,41.36,41.36,40.24,45.08,1,9,32,65,0.0,2.7833001988071504,Skinport,1757810067
AK-47 | Black Laminate (Well-Worn),AK-47 | Black Laminate,normal,Well-Worn,The Vertigo Collection,mil-spec,0.0,1.0,USD,45.74,157.14,,,93.82,45.35,0,0,1,6,,,Skinport,1757810067
