No se encontró listing para: 56 skins procesadas. Revisá manualmente (primeros 50):
 - MAC-10 | #PaintKit_sp_palm_Tag
 - MP5SD | Acid Wash
 - MP5SD | Agent
 - MP5SD | Autumn Twilly
 - MP5SD | Bamboo Garden
 - MP5SD | Co-Processor
 - MP5SD | Condition Zero
 - MP5SD | Desert Strike
 - MP5SD | Dirt Drop
 - MP5SD | Gauss
 - MP5SD | Gold Leaf
 - MP5SD | Kitbash
 - MP5SD | Lab Rats
 - MP5SD | Lime Hex
 - MP5SD | Liquidation
 - MP5SD | Necro Jr.
 - MP5SD | Neon Squeezer
 - MP5SD | Nitro
 - MP5SD | Oxide Oasis
 - MP5SD | Phosphor
 - MP5SD | Savannah Halftone
 - MP5SD | Statics
 - MP7 | #PaintKit_sp_spray_army_Tag
 - Negev | #PaintKit_sp_palm_Tag
 - REVOLVER | Amber Fade
 - REVOLVER | Banana Cannon
 - REVOLVER | Blaze
 - REVOLVER | Bone Forged
 - REVOLVER | Bone Mask
 - REVOLVER | Canal Spray
 - REVOLVER | Cobalt Grip
 - REVOLVER | Crazy 8
 - REVOLVER | Crimson Web
 - REVOLVER | Desert Brush
 - REVOLVER | Fade
 - REVOLVER | Grip
 - REVOLVER | Inlay
 - REVOLVER | Junk Yard
 - REVOLVER | Leafhopper
 - REVOLVER | Llama Cannon
 - REVOLVER | Memento
 - REVOLVER | Night
 - REVOLVER | Nitro
 - REVOLVER | Phoenix Marker
 - REVOLVER | Reboot
 - REVOLVER | Skull Crusher
 - REVOLVER | Survivalist
 - REVOLVER | Tango
 - SCAR-20 | #PaintKit_sp_palm_Tag
 - TASER | Charged Up
Colección diferente entre CSV y CSFloat en 17 skins (primeros 50):
 - AK-47 | Neon Revolution: CSV='#CSGO_set_gamma_2' vs API='The Gamma 2 Collection'
 - AUG | Syd Mead: CSV='#CSGO_set_gamma_2' vs API='The Gamma 2 Collection'
 - CZ75-Auto | Imprint: CSV='#CSGO_set_gamma_2' vs API='The Gamma 2 Collection'
 - Desert Eagle | Directive: CSV='#CSGO_set_gamma_2' vs API='The Gamma 2 Collection'
 - FAMAS | Roll Cage: CSV='#CSGO_set_gamma_2' vs API='The Gamma 2 Collection'
 - Five-SeveN | Scumbria: CSV='#CSGO_set_gamma_2' vs API='The Gamma 2 Collection'
 - G3SG1 | Ventilator: CSV='#CSGO_set_gamma_2' vs API='The Gamma 2 Collection'
 - Glock-18 | Weasel: CSV='#CSGO_set_gamma_2' vs API='The Gamma 2 Collection'
 - MAG-7 | Petroglyph: CSV='#CSGO_set_gamma_2' vs API='The Gamma 2 Collection'
 - MP9 | Airlock: CSV='#CSGO_set_gamma_2' vs API='The Gamma 2 Collection'
 - Negev | Dazzle: CSV='#CSGO_set_gamma_2' vs API='The Gamma 2 Collection'
 - P90 | Grim: CSV='#CSGO_set_gamma_2' vs API='The Gamma 2 Collection'
 - SCAR-20 | Powercore: CSV='#CSGO_set_gamma_2' vs API='The Gamma 2 Collection'
 - SG 553 | Triarch: CSV='#CSGO_set_gamma_2' vs API='The Gamma 2 Collection'
 - Tec-9 | Fuel Injector: CSV='#CSGO_set_gamma_2' vs API='The Gamma 2 Collection'
 - UMP-45 | Briefing: CSV='#CSGO_set_gamma_2' vs API='The Gamma 2 Collection'
 - XM1014 | Slipstream: CSV='#CSGO_set_gamma_2' vs API='The Gamma 2 Collection'
Listo -> data/skins_fixed.csv
                    INFO     Resumen: resueltas=1291, actualizadas=358, sin_cambio=933, no_encontradas=56
