Arma,Coleccion,Grado,FloatMin,FloatMax
AK-47 | Aquamarine Revenge,The Falchion Collection,covert,0.0,1.0
AK-47 | Asiimov,The Danger Zone Collection,covert,0.05,0.7
AK-47 | B the Monster,The Overpass 2024 Collection,covert,0.0,0.8
AK-47 | Baroque Purple,The Canals Collection,industrial,0.0,1.0
AK-47 | Black Laminate,The Vertigo Collection,mil-spec,0.0,1.0
AK-47 | Bloodsport,The Spectrum Collection,covert,0.0,0.45
AK-47 | Blue Laminate,The eSports 2013 Winter Collection,restricted,0.02,0.4
AK-47 | Cartel,The Chroma Collection,classified,0.0,0.75
AK-47 | Case Hardened,The Arms Deal Collection,classified,0.0,1.0
AK-47 | Crossfade,The Graphic Design Collection,mil-spec,0.0,0.5
AK-47 | Elite Build,The Chroma 2 Collection,mil-spec,0.0,1.0
AK-47 | Emerald Pinstripe,The Bank Collection,restricted,0.0,1.0
AK-47 | Fire Serpent,The Bravo Collection,covert,0.0,0.76
AK-47 | First Class,The Baggage Collection,restricted,0.0,1.0
AK-47 | Frontside Misty,The Shadow Collection,classified,0.02,0.87
AK-47 | Fuel Injector,The Wildfire Collection,covert,0.0,1.0
AK-47 | Gold Arabesque,The 2021 Dust 2 Collection,covert,0.0,0.7
AK-47 | Green Laminate,The 2021 Vertigo Collection,mil-spec,0.02,0.4
AK-47 | Head Shot,The Revolution Collection,covert,0.0,1.0
AK-47 | Hydroponic,The Rising Sun Collection,classified,0.0,0.8
AK-47 | Ice Coaled,The Recoil Collection,classified,0.0,0.77
AK-47 | Inheritance,The Kilowatt Collection,covert,0.0,0.797346
AK-47 | Jaguar,The eSports 2014 Summer Collection,covert,0.0,1.0
AK-47 | Jet Set,The Baggage Collection,classified,0.0,1.0
AK-47 | Jungle Spray,The Aztec Collection,industrial,0.0,1.0
AK-47 | Leet Museo,The Operation Riptide Collection,covert,0.0,0.65
AK-47 | Legion of Anubis,The Fracture Collection,covert,0.0,0.7
AK-47 | Midnight Laminate,The Ascent Collection,restricted,0.0,0.75
AK-47 | Neon Revolution,#CSGO_set_gamma_2,covert,0.0,0.8
AK-47 | Neon Rider,The Horizon Collection,covert,0.0,0.8
AK-47 | Nightwish,The Dreams & Nightmares Collection,covert,0.0,1.0
AK-47 | Nouveau Rouge,The Radiant Collection,classified,0.0,1.0
AK-47 | Olive Polycam,The Sport & Field Collection,industrial,0.0,0.5
AK-47 | Orbit Mk01,The Operation Hydra Collection,restricted,0.0,0.55
AK-47 | Panthera onca,The Ancient Collection,classified,0.0,1.0
AK-47 | Phantom Disruptor,The Prisma 2 Collection,classified,0.0,0.65
AK-47 | Point Disarray,The Revolver Case Collection,classified,0.0,0.67
AK-47 | Predator,The Dust Collection,industrial,0.0,1.0
AK-47 | Rat Rod,The Shattered Web Collection,restricted,0.0,1.0
AK-47 | Red Laminate,The eSports 2013 Collection,classified,0.0,1.0
AK-47 | Redline,The Phoenix Collection,classified,0.1,0.7
AK-47 | Safari Mesh,The Dust 2 Collection,industrial,0.0,1.0
AK-47 | Safety Net,The 2018 Inferno Collection,restricted,0.0,0.6
AK-47 | Searing Rage,The Fever Collection,classified,0.0,1.0
AK-47 | Slate,The Snakebite Collection,restricted,0.0,1.0
AK-47 | Steel Delta,The Anubis Collection,mil-spec,0.0,0.73
AK-47 | The Empress,The Spectrum 2 Collection,covert,0.0,1.0
AK-47 | The Outsiders,The Gallery Collection,classified,0.0,0.9
AK-47 | Uncharted,The Prisma Collection,mil-spec,0.0,0.75
AK-47 | VariCamo Grey,The Boreal Collection,industrial,0.0,0.671875
AK-47 | Vulcan,The Huntsman Collection,covert,0.0,0.9
AK-47 | Wasteland Rebel,The Vanguard Collection,covert,0.05,0.7
AK-47 | Wild Lotus,The St. Marc Collection,covert,0.0,1.0
AK-47 | Wintergreen,The Boreal Collection,mil-spec,0.0,0.75
AK-47 | X-Ray,The Havoc Collection,covert,0.0,1.0
AUG | Akihabara Accept,The Rising Sun Collection,covert,0.0,1.0
AUG | Amber Fade,The 2021 Train Collection,mil-spec,0.0,0.4
AUG | Amber Slipstream,The Horizon Collection,mil-spec,0.0,0.55
AUG | Anodized Navy,The Alpha Collection,mil-spec,0.0,0.08
AUG | Arctic Wolf,The Shattered Web Collection,restricted,0.0,0.7
AUG | Aristocrat,The Gamma Collection,restricted,0.0,0.66
AUG | Bengal Tiger,The eSports 2014 Summer Collection,classified,0.0,1.0
AUG | Carved Jade,The Ancient Collection,mil-spec,0.0,0.2
AUG | Chameleon,The Phoenix Collection,covert,0.0,0.5
AUG | Colony,The Mirage Collection,consumer,0.0,1.0
AUG | Commando Company,The Boreal Collection,consumer,0.0,0.65
AUG | Condemned,The Safehouse Collection,industrial,0.0,1.0
AUG | Contractor,The Italy Collection,consumer,0.0,1.0
AUG | Copperhead,The Dust Collection,mil-spec,0.12,0.38
AUG | Daedalus,The Gods and Monsters Collection,consumer,0.0,0.55
AUG | Death by Puppy,The CS20 Collection,classified,0.0,0.4
AUG | Eye of Zapems,The Overpass 2024 Collection,restricted,0.0,0.85
AUG | Flame Jörmungandr,The Norse Collection,restricted,0.0,0.5
AUG | Fleet Flock,The Chroma 3 Collection,classified,0.0,1.0
AUG | Hot Rod,The Assault Collection,mil-spec,0.0,0.08
AUG | Lil' Pig,The Graphic Design Collection,classified,0.0,0.8
AUG | Luxe Trim,The Gallery Collection,mil-spec,0.0,0.9
AUG | Midnight Lily,The St. Marc Collection,restricted,0.0,0.5
AUG | Momentum,The Prisma Collection,classified,0.05,1.0
AUG | Navy Murano,The Canals Collection,consumer,0.0,1.0
AUG | Plague,The Operation Riptide Collection,mil-spec,0.0,0.76
AUG | Radiation Hazard,The Cache Collection,industrial,0.0,0.55
AUG | Random Access,The 2018 Nuke Collection,restricted,0.0,0.5
AUG | Ricochet,The Revolver Case Collection,mil-spec,0.0,0.8
AUG | Sand Storm,The 2021 Mirage Collection,restricted,0.0,0.5
AUG | Snake Pit,The Anubis Collection,consumer,0.0,0.55
AUG | Spalted Wood,The 2021 Dust 2 Collection,industrial,0.0,0.48
AUG | Steel Sentinel,The Train 2025 Collection,industrial,0.0,1.0
