Name,Wear,PriceCents,StatTrak
AK-47 | Aquamarine Revenge,Factory New,30200,False
AK-47 | Aquamarine Revenge,Minimal Wear,8040,False
AK-47 | Aquamarine Revenge,Field-Tested,3524,False
AK-47 | Aquamarine Revenge,Well-Worn,2700,False
AK-47 | Aquamarine Revenge,Battle-Scarred,2690,False
AK-47 | Asiimov,Factory New,37469,False
AK-47 | Asiimov,Minimal Wear,5264,False
AK-47 | Asiimov,Field-Tested,2841,False
AK-47 | Asiimov,Well-Worn,3314,False
AK-47 | Asiimov,Battle-Scarred,2939,False
AK-47 | B the Monster,Factory New,86599,False
AK-47 | B the Monster,Minimal Wear,37971,False
AK-47 | B the Monster,Field-Tested,22609,False
AK-47 | B the Monster,Well-Worn,18500,False
AK-47 | B the Monster,Battle-Scarred,11600,False
AK-47 | Baroque Purple,Factory New,7000,False
AK-47 | Baroque Purple,Minimal Wear,968,False
AK-47 | Baroque Purple,Field-Tested,623,False
AK-47 | Baroque Purple,Well-Worn,591,False
AK-47 | Baroque Purple,Battle-Scarred,591,False
AK-47 | Black Laminate,Factory New,23500,False
AK-47 | Black Laminate,Minimal Wear,8600,False
AK-47 | Black Laminate,Field-Tested,130,False
AK-47 | Black Laminate,Well-Worn,4060,False
AK-47 | Black Laminate,Battle-Scarred,4500,False
AK-47 | Bloodsport,Factory New,34149,False
AK-47 | Bloodsport,Minimal Wear,19435,False
AK-47 | Bloodsport,Field-Tested,12656,False
AK-47 | Bloodsport,Well-Worn,16095,False
AK-47 | Blue Laminate,Factory New,3998,False
AK-47 | Blue Laminate,Minimal Wear,1495,False
AK-47 | Blue Laminate,Field-Tested,1302,False
AK-47 | Blue Laminate,Well-Worn,1950,False
AK-47 | Cartel,Factory New,12500,False
AK-47 | Cartel,Minimal Wear,2033,False
AK-47 | Cartel,Field-Tested,1499,False
AK-47 | Cartel,Well-Worn,1999,False
AK-47 | Cartel,Battle-Scarred,1487,False
AK-47 | Case Hardened,Factory New,42000,False
AK-47 | Case Hardened,Minimal Wear,724,False
AK-47 | Case Hardened,Field-Tested,6914,False
AK-47 | Case Hardened,Well-Worn,18800,False
AK-47 | Case Hardened,Battle-Scarred,18651,False
AK-47 | Crossfade,Factory New,1262,False
AK-47 | Crossfade,Minimal Wear,230,False
AK-47 | Crossfade,Field-Tested,224,False
AK-47 | Crossfade,Well-Worn,234,False
AK-47 | Crossfade,Battle-Scarred,180,False
AK-47 | Elite Build,Factory New,1800,False
AK-47 | Elite Build,Minimal Wear,223,False
AK-47 | Elite Build,Field-Tested,128,False
AK-47 | Elite Build,Well-Worn,88,False
AK-47 | Elite Build,Battle-Scarred,53,False
AK-47 | Emerald Pinstripe,Factory New,242,False
AK-47 | Emerald Pinstripe,Minimal Wear,453,False
AK-47 | Emerald Pinstripe,Field-Tested,257,False
AK-47 | Emerald Pinstripe,Well-Worn,234,False
AK-47 | Emerald Pinstripe,Battle-Scarred,136,False
AK-47 | Fire Serpent,Factory New,333127,False
AK-47 | Fire Serpent,Minimal Wear,181500,False
AK-47 | Fire Serpent,Field-Tested,94500,False
AK-47 | Fire Serpent,Well-Worn,79222,False
AK-47 | Fire Serpent,Battle-Scarred,60709,False
AK-47 | First Class,Factory New,18423,False
AK-47 | First Class,Minimal Wear,14102,False
AK-47 | First Class,Field-Tested,9699,False
AK-47 | First Class,Well-Worn,9000,False
AK-47 | First Class,Battle-Scarred,9900,False
AK-47 | Frontside Misty,Factory New,23398,False
AK-47 | Frontside Misty,Minimal Wear,4400,False
AK-47 | Frontside Misty,Field-Tested,1508,False
AK-47 | Frontside Misty,Well-Worn,1349,False
AK-47 | Frontside Misty,Battle-Scarred,1345,False
AK-47 | Fuel Injector,Factory New,83900,False
AK-47 | Fuel Injector,Minimal Wear,31054,False
AK-47 | Fuel Injector,Field-Tested,11850,False
AK-47 | Fuel Injector,Well-Worn,18099,False
AK-47 | Fuel Injector,Battle-Scarred,14000,False
AK-47 | Gold Arabesque,Factory New,603954,False
AK-47 | Gold Arabesque,Minimal Wear,330000,False
AK-47 | Gold Arabesque,Field-Tested,239386,False
AK-47 | Gold Arabesque,Well-Worn,195689,False
AK-47 | Gold Arabesque,Battle-Scarred,179999,False
AK-47 | Green Laminate,Factory New,4300,False
AK-47 | Green Laminate,Minimal Wear,1886,False
AK-47 | Green Laminate,Field-Tested,1850,False
AK-47 | Green Laminate,Well-Worn,3687,False
AK-47 | Head Shot,Factory New,3330,False
AK-47 | Head Shot,Minimal Wear,1622,False
AK-47 | Head Shot,Field-Tested,588,False
AK-47 | Head Shot,Well-Worn,433,False
AK-47 | Head Shot,Battle-Scarred,409,False
AK-47 | Hydroponic,Factory New,696969,False
AK-47 | Hydroponic,Minimal Wear,275000,False
