MarketHashName,PriceCents
AK-47 | Aquamarine Revenge (Battle-Scarred),2521
AK-47 | Aquamarine Revenge (Factory New),28755
AK-47 | Aquamarine Revenge (Field-Tested),4690
AK-47 | Aquamarine Revenge (Minimal Wear),8823
AK-47 | Aquamarine Revenge (Well-Worn),3049
AK-47 | Asiimov (Battle-Scarred),2868
AK-47 | Asiimov (Factory New),29142
AK-47 | Asiimov (Field-Tested),3074
AK-47 | Asiimov (Minimal Wear),5659
AK-47 | Asiimov (Well-Worn),3502
AK-47 | B the Monster (Battle-Scarred),11091
AK-47 | B the Monster (Factory New),88473
AK-47 | B the Monster (Field-Tested),24699
AK-47 | B the Monster (Minimal Wear),41747
AK-47 | B the Monster (Well-Worn),18200
AK-47 | Baroque Purple (Battle-Scarred),760
AK-47 | Baroque Purple (Factory New),5760
AK-47 | Baroque Purple (Field-Tested),564
AK-47 | Baroque Purple (Minimal Wear),996
AK-47 | Baroque Purple (Well-Worn),550
AK-47 | Black Laminate (Battle-Scarred),4595
AK-47 | Black Laminate (Factory New),24716
AK-47 | Black Laminate (Field-Tested),4136
AK-47 | Black Laminate (Minimal Wear),7322
AK-47 | Black Laminate (Well-Worn),4574
AK-47 | Bloodsport (Factory New),32676
AK-47 | Bloodsport (Field-Tested),17935
AK-47 | Bloodsport (Minimal Wear),20537
AK-47 | Bloodsport (Well-Worn),15946
AK-47 | Blue Laminate (Factory New),3730
AK-47 | Blue Laminate (Field-Tested),1529
AK-47 | Blue Laminate (Minimal Wear),1677
AK-47 | Blue Laminate (Well-Worn),2110
AK-47 | Cartel (Battle-Scarred),1446
AK-47 | Cartel (Factory New),10341
AK-47 | Cartel (Field-Tested),1682
AK-47 | Cartel (Minimal Wear),2762
AK-47 | Cartel (Well-Worn),2344
AK-47 | Case Hardened (Battle-Scarred),37931
AK-47 | Case Hardened (Factory New),44563
AK-47 | Case Hardened (Field-Tested),51578
AK-47 | Case Hardened (Minimal Wear),31600
AK-47 | Case Hardened (Well-Worn),23470
AK-47 | Crossfade (Battle-Scarred),148
AK-47 | Crossfade (Factory New),701
AK-47 | Crossfade (Field-Tested),223
AK-47 | Crossfade (Minimal Wear),348
AK-47 | Crossfade (Well-Worn),220
AK-47 | Elite Build (Battle-Scarred),102
AK-47 | Elite Build (Factory New),1489
AK-47 | Elite Build (Field-Tested),143
AK-47 | Elite Build (Minimal Wear),247
AK-47 | Elite Build (Well-Worn),108
AK-47 | Emerald Pinstripe (Battle-Scarred),232
AK-47 | Emerald Pinstripe (Factory New),1876
AK-47 | Emerald Pinstripe (Field-Tested),311
AK-47 | Emerald Pinstripe (Minimal Wear),462
AK-47 | Emerald Pinstripe (Well-Worn),230
AK-47 | Fire Serpent (Battle-Scarred),58506
AK-47 | Fire Serpent (Factory New),304902
AK-47 | Fire Serpent (Field-Tested),101908
AK-47 | Fire Serpent (Minimal Wear),179172
AK-47 | Fire Serpent (Well-Worn),77620
AK-47 | First Class (Battle-Scarred),7947
AK-47 | First Class (Factory New),22281
AK-47 | First Class (Field-Tested),9660
AK-47 | First Class (Minimal Wear),12137
AK-47 | First Class (Well-Worn),9616
AK-47 | Frontside Misty (Battle-Scarred),1283
AK-47 | Frontside Misty (Factory New),15838
AK-47 | Frontside Misty (Field-Tested),1876
AK-47 | Frontside Misty (Minimal Wear),3508
AK-47 | Frontside Misty (Well-Worn),1530
AK-47 | Fuel Injector (Battle-Scarred),16406
AK-47 | Fuel Injector (Factory New),82675
AK-47 | Fuel Injector (Field-Tested),24561
AK-47 | Fuel Injector (Minimal Wear),32906
AK-47 | Fuel Injector (Well-Worn),20323
AK-47 | Gold Arabesque (Battle-Scarred),200852
AK-47 | Gold Arabesque (Factory New),588457
AK-47 | Gold Arabesque (Field-Tested),263215
AK-47 | Gold Arabesque (Minimal Wear),377100
AK-47 | Gold Arabesque (Well-Worn),254046
AK-47 | Green Laminate (Factory New),5574
AK-47 | Green Laminate (Field-Tested),2051
AK-47 | Green Laminate (Minimal Wear),2317
AK-47 | Head Shot (Battle-Scarred),449
AK-47 | Head Shot (Factory New),9421
AK-47 | Head Shot (Field-Tested),779
AK-47 | Head Shot (Minimal Wear),1515
AK-47 | Head Shot (Well-Worn),548
AK-47 | Hydroponic (Factory New),622389
AK-47 | Hydroponic (Field-Tested),133909
AK-47 | Ice Coaled (Battle-Scarred),337
AK-47 | Ice Coaled (Factory New),1937
AK-47 | Ice Coaled (Field-Tested),372
AK-47 | Ice Coaled (Minimal Wear),766
AK-47 | Ice Coaled (Well-Worn),434
AK-47 | Inheritance (Battle-Scarred),5815
AK-47 | Inheritance (Factory New),22635
AK-47 | Inheritance (Field-Tested),7069
AK-47 | Inheritance (Minimal Wear),12503
AK-47 | Inheritance (Well-Worn),6371
AK-47 | Jaguar (Battle-Scarred),5365
AK-47 | Jaguar (Factory New),35611
AK-47 | Jaguar (Field-Tested),8856
AK-47 | Jaguar (Minimal Wear),20583
AK-47 | Jaguar (Well-Worn),6095
AK-47 | Jet Set (Battle-Scarred),33369
AK-47 | Jet Set (Factory New),80894
AK-47 | Jet Set (Field-Tested),39989
AK-47 | Jet Set (Minimal Wear),50426
AK-47 | Jet Set (Well-Worn),42217
AK-47 | Jungle Spray (Battle-Scarred),450
AK-47 | Jungle Spray (Factory New),9882
AK-47 | Jungle Spray (Field-Tested),863
AK-47 | Jungle Spray (Minimal Wear),5735
AK-47 | Jungle Spray (Well-Worn),3518
AK-47 | Leet Museo (Battle-Scarred),3791
AK-47 | Leet Museo (Factory New),48397
AK-47 | Leet Museo (Field-Tested),9668
AK-47 | Leet Museo (Minimal Wear),20189
AK-47 | Leet Museo (Well-Worn),4691
AK-47 | Legion of Anubis (Battle-Scarred),482
AK-47 | Legion of Anubis (Factory New),4104
AK-47 | Legion of Anubis (Field-Tested),570
AK-47 | Legion of Anubis (Minimal Wear),1017
AK-47 | Legion of Anubis (Well-Worn),623
AK-47 | Midnight Laminate (Battle-Scarred),1033
AK-47 | Midnight Laminate (Factory New),6654
AK-47 | Midnight Laminate (Field-Tested),1086
AK-47 | Midnight Laminate (Minimal Wear),3599
AK-47 | Midnight Laminate (Well-Worn),1379
AK-47 | Neon Revolution (Battle-Scarred),1914
AK-47 | Neon Revolution (Factory New),21334
AK-47 | Neon Revolution (Field-Tested),2230
AK-47 | Neon Revolution (Minimal Wear),4898
AK-47 | Neon Revolution (Well-Worn),2560
AK-47 | Neon Rider (Battle-Scarred),3693
AK-47 | Neon Rider (Factory New),27406
AK-47 | Neon Rider (Field-Tested),4208
AK-47 | Neon Rider (Minimal Wear),8605
AK-47 | Neon Rider (Well-Worn),4474
AK-47 | Nightwish (Battle-Scarred),441
AK-47 | Nightwish (Factory New),11141
AK-47 | Nightwish (Field-Tested),752
AK-47 | Nightwish (Minimal Wear),1642
AK-47 | Nightwish (Well-Worn),579
AK-47 | Nouveau Rouge (Battle-Scarred),1700
AK-47 | Nouveau Rouge (Factory New),35767
AK-47 | Nouveau Rouge (Field-Tested),6362
AK-47 | Nouveau Rouge (Minimal Wear),15357
AK-47 | Nouveau Rouge (Well-Worn),2469
AK-47 | Olive Polycam (Battle-Scarred),14
AK-47 | Olive Polycam (Factory New),120
AK-47 | Olive Polycam (Field-Tested),14
AK-47 | Olive Polycam (Minimal Wear),32
AK-47 | Olive Polycam (Well-Worn),19
AK-47 | Orbit Mk01 (Battle-Scarred),2116
AK-47 | Orbit Mk01 (Factory New),9372
AK-47 | Orbit Mk01 (Field-Tested),2349
AK-47 | Orbit Mk01 (Minimal Wear),2987
AK-47 | Orbit Mk01 (Well-Worn),2472
AK-47 | Panthera onca (Battle-Scarred),18763
AK-47 | Panthera onca (Factory New),66258
AK-47 | Panthera onca (Field-Tested),22281
AK-47 | Panthera onca (Minimal Wear),29998
AK-47 | Panthera onca (Well-Worn),15767
AK-47 | Phantom Disruptor (Battle-Scarred),292
AK-47 | Phantom Disruptor (Factory New),5109
AK-47 | Phantom Disruptor (Field-Tested),366
AK-47 | Phantom Disruptor (Minimal Wear),1100
AK-47 | Phantom Disruptor (Well-Worn),490
AK-47 | Point Disarray (Battle-Scarred),1062
AK-47 | Point Disarray (Factory New),25938
AK-47 | Point Disarray (Field-Tested),1523
AK-47 | Point Disarray (Minimal Wear),4989
AK-47 | Point Disarray (Well-Worn),1325
AK-47 | Predator (Battle-Scarred),1923
AK-47 | Predator (Factory New),8903
AK-47 | Predator (Field-Tested),2107
AK-47 | Predator (Minimal Wear),8197
AK-47 | Predator (Well-Worn),1703
AK-47 | Rat Rod (Battle-Scarred),407
AK-47 | Rat Rod (Factory New),8092
AK-47 | Rat Rod (Field-Tested),353
AK-47 | Rat Rod (Minimal Wear),1230
AK-47 | Rat Rod (Well-Worn),288
AK-47 | Red Laminate (Battle-Scarred),6064
AK-47 | Red Laminate (Factory New),33287
AK-47 | Red Laminate (Field-Tested),5929
AK-47 | Red Laminate (Minimal Wear),10930
AK-47 | Red Laminate (Well-Worn),5905
AK-47 | Redline (Battle-Scarred),2551
AK-47 | Redline (Field-Tested),4055
AK-47 | Redline (Minimal Wear),29376
AK-47 | Redline (Well-Worn),2965
AK-47 | Safari Mesh (Battle-Scarred),7
AK-47 | Safari Mesh (Factory New),412
AK-47 | Safari Mesh (Field-Tested),7
AK-47 | Safari Mesh (Minimal Wear),14
AK-47 | Safari Mesh (Well-Worn),7
AK-47 | Safety Net (Battle-Scarred),193
AK-47 | Safety Net (Factory New),2515
AK-47 | Safety Net (Field-Tested),239
AK-47 | Safety Net (Minimal Wear),420
AK-47 | Safety Net (Well-Worn),246
AK-47 | Searing Rage (Battle-Scarred),235
AK-47 | Searing Rage (Factory New),3824
