Name,Collection,Rarity,Float,PriceCents,StatTrak
AK-47 | Aquamarine Revenge,The Falchion Collection,covert,0.725,,true
AK-47 | Aquamarine Revenge,The Falchion Collection,covert,0.035,,true
AK-47 | Aquamarine Revenge,The Falchion Collection,covert,0.265,,true
AK-47 | Aquamarine Revenge,The Falchion Collection,covert,0.110,,true
AK-47 | Aquamarine Revenge,The Falchion Collection,covert,0.415,,true
AK-47 | Asiimov,The Danger Zone Collection,covert,0.725,,true
AK-47 | Asiimov,The Danger Zone Collection,covert,0.035,,true
AK-47 | Asiimov,The Danger Zone Collection,covert,0.265,,true
AK-47 | Asiimov,The Danger Zone Collection,covert,0.110,,true
AK-47 | Asiimov,The Danger Zone Collection,covert,0.415,,true
AK-47 | B the Monster,The Overpass 2024 Collection,covert,0.725,,true
AK-47 | B the Monster,The Overpass 2024 Collection,covert,0.035,,true
AK-47 | B the Monster,The Overpass 2024 Collection,covert,0.265,,true
AK-47 | B the Monster,The Overpass 2024 Collection,covert,0.110,,true
AK-47 | B the Monster,The Overpass 2024 Collection,covert,0.415,,true
AK-47 | Baroque Purple,The Canals Collection,industrial,0.725,,true
AK-47 | Baroque Purple,The Canals Collection,industrial,0.035,,true
AK-47 | Baroque Purple,The Canals Collection,industrial,0.265,,true
AK-47 | Baroque Purple,The Canals Collection,industrial,0.110,,true
AK-47 | Baroque Purple,The Canals Collection,industrial,0.415,,true
AK-47 | Black Laminate,The Vertigo Collection,mil-spec,0.725,,true
AK-47 | Black Laminate,The Vertigo Collection,mil-spec,0.035,,true
AK-47 | Black Laminate,The Vertigo Collection,mil-spec,0.265,,true
AK-47 | Black Laminate,The Vertigo Collection,mil-spec,0.110,,true
AK-47 | Black Laminate,The Vertigo Collection,mil-spec,0.415,,true
AK-47 | Bloodsport,The Spectrum Collection,covert,0.725,,false
AK-47 | Bloodsport,The Spectrum Collection,covert,0.725,,true
AK-47 | Bloodsport,The Spectrum Collection,covert,0.035,,true
AK-47 | Bloodsport,The Spectrum Collection,covert,0.265,,true
AK-47 | Bloodsport,The Spectrum Collection,covert,0.110,,true
AK-47 | Bloodsport,The Spectrum Collection,covert,0.415,,true
AK-47 | Blue Laminate,The eSports 2013 Winter Collection,restricted,0.035,,true
AK-47 | Blue Laminate,The eSports 2013 Winter Collection,restricted,0.265,,true
AK-47 | Blue Laminate,The eSports 2013 Winter Collection,restricted,0.110,,true
AK-47 | Blue Laminate,The eSports 2013 Winter Collection,restricted,0.415,,true
AK-47 | Cartel,The Chroma Collection,classified,0.725,,true
AK-47 | Cartel,The Chroma Collection,classified,0.035,,true
AK-47 | Cartel,The Chroma Collection,classified,0.265,,true
AK-47 | Cartel,The Chroma Collection,classified,0.110,,true
AK-47 | Cartel,The Chroma Collection,classified,0.415,,true
AK-47 | Case Hardened,The Arms Deal Collection,classified,0.725,,true
AK-47 | Case Hardened,The Arms Deal Collection,classified,0.035,,true
AK-47 | Case Hardened,The Arms Deal Collection,classified,0.265,,true
AK-47 | Case Hardened,The Arms Deal Collection,classified,0.110,,true
AK-47 | Case Hardened,The Arms Deal Collection,classified,0.415,,true
AK-47 | Crossfade,The Graphic Design Collection,mil-spec,0.725,,true
AK-47 | Crossfade,The Graphic Design Collection,mil-spec,0.035,,true
AK-47 | Crossfade,The Graphic Design Collection,mil-spec,0.265,,true
AK-47 | Crossfade,The Graphic Design Collection,mil-spec,0.110,,true
AK-47 | Crossfade,The Graphic Design Collection,mil-spec,0.415,,true
AK-47 | Elite Build,The Chroma 2 Collection,mil-spec,0.725,,true
AK-47 | Elite Build,The Chroma 2 Collection,mil-spec,0.035,,true
AK-47 | Elite Build,The Chroma 2 Collection,mil-spec,0.265,,true
AK-47 | Elite Build,The Chroma 2 Collection,mil-spec,0.110,,true
AK-47 | Elite Build,The Chroma 2 Collection,mil-spec,0.415,,true
AK-47 | Emerald Pinstripe,The Bank Collection,restricted,0.725,,true
AK-47 | Emerald Pinstripe,The Bank Collection,restricted,0.035,,true
AK-47 | Emerald Pinstripe,The Bank Collection,restricted,0.265,,true
AK-47 | Emerald Pinstripe,The Bank Collection,restricted,0.110,,true
AK-47 | Emerald Pinstripe,The Bank Collection,restricted,0.415,,true
AK-47 | Fire Serpent,The Bravo Collection,covert,0.725,,true
AK-47 | Fire Serpent,The Bravo Collection,covert,0.035,,true
AK-47 | Fire Serpent,The Bravo Collection,covert,0.265,,true
AK-47 | Fire Serpent,The Bravo Collection,covert,0.110,,true
AK-47 | Fire Serpent,The Bravo Collection,covert,0.415,,true
AK-47 | First Class,The Baggage Collection,restricted,0.725,,true
AK-47 | First Class,The Baggage Collection,restricted,0.035,,true
AK-47 | First Class,The Baggage Collection,restricted,0.265,,true
AK-47 | First Class,The Baggage Collection,restricted,0.110,,true
AK-47 | First Class,The Baggage Collection,restricted,0.415,,true
AK-47 | Frontside Misty,The Shadow Collection,classified,0.725,,true
AK-47 | Frontside Misty,The Shadow Collection,classified,0.035,,true
