Name,Collection,Rarity,Float,PriceCents,StatTrak
AK-47 | Bloodsport,The Spectrum Collection,covert,0.725,,false
AK-47 | Rat Rod,The Shattered Web Collection,restricted,0.035,,false
AK-47 | Rat Rod,The Shattered Web Collection,restricted,0.265,,false
AK-47 | Rat Rod,The Shattered Web Collection,restricted,0.110,,false
AK-47 | Rat Rod,The Shattered Web Collection,restricted,0.415,,false
AK-47 | Red Laminate,The eSports 2013 Collection,classified,0.725,,false
AK-47 | Red Laminate,The eSports 2013 Collection,classified,0.035,,false
AK-47 | Red Laminate,The eSports 2013 Collection,classified,0.265,,false
AK-47 | Red Laminate,The eSports 2013 Collection,classified,0.110,,false
AK-47 | Red Laminate,The eSports 2013 Collection,classified,0.415,,false
AK-47 | Redline,The Phoenix Collection,classified,0.725,,false
AK-47 | Redline,The Phoenix Collection,classified,0.265,,false
AK-47 | Redline,The Phoenix Collection,classified,0.110,,false
AK-47 | Redline,The Phoenix Collection,classified,0.415,,false
AK-47 | Safari Mesh,The Dust 2 Collection,industrial,0.725,,false
AK-47 | Safety Net,The 2018 Inferno Collection,restricted,0.725,,false
AK-47 | Safety Net,The 2018 Inferno Collection,restricted,0.035,,false
AK-47 | Safety Net,The 2018 Inferno Collection,restricted,0.265,,false
AK-47 | Safety Net,The 2018 Inferno Collection,restricted,0.110,,false
AK-47 | Safety Net,The 2018 Inferno Collection,restricted,0.415,,false
AUG | Arctic Wolf,The Shattered Web Collection,restricted,0.415,,false
AUG | Colony,The Mirage Collection,consumer,0.415,,false
AUG | Copperhead,The Dust Collection,mil-spec,0.415,,false
AUG | Flame Jörmungandr,The Norse Collection,restricted,0.725,,false
AUG | Flame Jörmungandr,The Norse Collection,restricted,0.415,,false
AUG | Lil' Pig,The Graphic Design Collection,classified,0.725,,false
AUG | Midnight Lily,The St. Marc Collection,restricted,0.110,,false
AUG | Random Access,The 2018 Nuke Collection,restricted,0.110,,false
AUG | Random Access,The 2018 Nuke Collection,restricted,0.415,,false
AUG | Ricochet,The Revolver Case Collection,mil-spec,0.725,,false
AUG | Ricochet,The Revolver Case Collection,mil-spec,0.035,,false
AUG | Ricochet,The Revolver Case Collection,mil-spec,0.265,,false
AUG | Ricochet,The Revolver Case Collection,mil-spec,0.110,,false
AUG | Ricochet,The Revolver Case Collection,mil-spec,0.415,,false
AUG | Sand Storm,The 2021 Mirage Collection,restricted,0.725,,false
AUG | Sand Storm,The 2021 Mirage Collection,restricted,0.035,,false
AUG | Sand Storm,The 2021 Mirage Collection,restricted,0.265,,false
AUG | Sand Storm,The 2021 Mirage Collection,restricted,0.110,,false
AUG | Sand Storm,The 2021 Mirage Collection,restricted,0.415,,false
AUG | Snake Pit,The Anubis Collection,consumer,0.725,,false
AUG | Snake Pit,The Anubis Collection,consumer,0.035,,false
AUG | Snake Pit,The Anubis Collection,consumer,0.265,,false
AUG | Snake Pit,The Anubis Collection,consumer,0.110,,false
